s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1
			*VcV	Max	Ident
pat-a$$$s0$p0	pata	1.0	1	0	0
	pala	0.0	0	0	1
	paa	0.0	0	1	0
pat-ta$$$s0$p1	patta	1.0	0	0	0
	palta	0.0	0	0	1
	pata	0.0	0	1	0
met-a$$$s1$p0	meta	1.0	1	0	0
	mela	0.0	0	0	1
	mea	0.0	0	1	0
met-ta$$$s1$p1	metta	1.0	0	0	0
	melta	0.0	0	0	1
	meta	0.0	0	1	0
pot-a$$$s2$p0	pota	1.0	1	0	0
	pola	0.0	0	0	1
	poa	0.0	0	1	0
pot-ta$$$s2$p1	potta	1.0	0	0	0
	polta	0.0	0	0	1
	pota	0.0	0	1	0
sut-a$$$s3$p0	suta	1.0	1	0	0
	sula	0.0	0	0	1
	sua	0.0	0	1	0
sut-ta$$$s3$p1	sutta	1.0	0	0	0
	sulta	0.0	0	0	1
	suta	0.0	0	1	0
kat-a$$$s4$p0	kata	1.0	1	0	0
	kala	0.0	0	0	1
	kaa	0.0	0	1	0
kat-ta$$$s4$p1	katta	1.0	0	0	0
	kalta	0.0	0	0	1
	kata	0.0	0	1	0
hot-a$$$s5$p0	hota	0.0	1	0	0
	hola	1.0	0	0	1
	hoa	0.0	0	1	0
hot-ta$$$s5$p1	hotta	1.0	0	0	0
	holta	0.0	0	0	1
	hota	0.0	0	1	0
mut-a$$$s6$p0	muta	0.0	1	0	0
	mula	1.0	0	0	1
	mua	0.0	0	1	0
mut-ta$$$s6$p1	mutta	1.0	0	0	0
	multa	0.0	0	0	1
	muta	0.0	0	1	0
mot-a$$$s7$p0	mota	0.0	1	0	0
	mola	1.0	0	0	1
	moa	0.0	0	1	0
mot-ta$$$s7$p1	motta	1.0	0	0	0
	molta	0.0	0	0	1
	mota	0.0	0	1	0
nit-a$$$s8$p0	nita	0.0	1	0	0
	nila	1.0	0	0	1
	nia	0.0	0	1	0
nit-ta$$$s8$p1	nitta	1.0	0	0	0
	nilta	0.0	0	0	1
	nita	0.0	0	1	0
tot-a$$$s9$p0	tota	0.0	1	0	0
	tola	1.0	0	0	1
	toa	0.0	0	1	0
tot-ta$$$s9$p1	totta	1.0	0	0	0
	tolta	0.0	0	0	1
	tota	0.0	0	1	0
not-a$$$s10$p0	nota	0.0	1	0	0
	nola	1.0	0	0	1
	noa	0.0	0	1	0
not-ta$$$s10$p1	notta	1.0	0	0	0
	nolta	0.0	0	0	1
	nota	0.0	0	1	0
mat-a$$$s11$p0	mata	0.0	1	0	0
	mala	1.0	0	0	1
	maa	0.0	0	1	0
mat-ta$$$s11$p1	matta	1.0	0	0	0
	malta	0.0	0	0	1
	mata	0.0	0	1	0
tus-a$$$s12$p0	tusa	1.0	1	0	0
	tula	0.0	0	0	1
	tua	0.0	0	1	0
tus-ta$$$s12$p1	tutta	1.0	0	0	0
	tulta	0.0	0	0	1
	tuta	0.0	0	1	0
sis-a$$$s13$p0	sisa	1.0	1	0	0
	sila	0.0	0	0	1
	sia	0.0	0	1	0
sis-ta$$$s13$p1	sitta	1.0	0	0	0
	silta	0.0	0	0	1
	sita	0.0	0	1	0
hus-a$$$s14$p0	husa	1.0	1	0	0
	hula	0.0	0	0	1
	hua	0.0	0	1	0
hus-ta$$$s14$p1	hutta	1.0	0	0	0
	hulta	0.0	0	0	1
	huta	0.0	0	1	0
kis-a$$$s15$p0	kisa	1.0	1	0	0
	kila	0.0	0	0	1
	kia	0.0	0	1	0
kis-ta$$$s15$p1	kitta	1.0	0	0	0
	kilta	0.0	0	0	1
	kita	0.0	0	1	0
mis-a$$$s16$p0	misa	0.0	1	0	0
	mila	0.0	0	0	1
	mia	1.0	0	1	0
mis-ta$$$s16$p1	mitta	1.0	0	0	0
	milta	0.0	0	0	1
	mita	0.0	0	1	0
pes-a$$$s17$p0	pesa	0.0	1	0	0
	pela	0.0	0	0	1
	pea	1.0	0	1	0
pes-ta$$$s17$p1	petta	1.0	0	0	0
	pelta	0.0	0	0	1
	peta	0.0	0	1	0
ses-a$$$s18$p0	sesa	0.0	1	0	0
	sela	0.0	0	0	1
	sea	1.0	0	1	0
ses-ta$$$s18$p1	setta	1.0	0	0	0
	selta	0.0	0	0	1
	seta	0.0	0	1	0
nes-a$$$s19$p0	nesa	0.0	1	0	0
	nela	0.0	0	0	1
	nea	1.0	0	1	0
nes-ta$$$s19$p1	netta	1.0	0	0	0
	nelta	0.0	0	0	1
	neta	0.0	0	1	0
nus-a$$$s20$p0	nusa	0.0	1	0	0
	nula	0.0	0	0	1
	nua	1.0	0	1	0
nus-ta$$$s20$p1	nutta	1.0	0	0	0
	nulta	0.0	0	0	1
	nuta	0.0	0	1	0
