s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1	p2	p3
			*VcV	Max	Ident
pat-a$$$s0$p0	pata	1.0	1	0	0
	pala	0.0	0	0	1
	paa	0.0	0	1	0
pat-ta$$$s0$p1	patta	1.0	0	0	0
	palta	0.0	0	0	1
	pata	0.0	0	1	0
pat-e$$$s0$p2	pate	1.0	1	0	0
	pale	0.0	0	0	1
	pae	0.0	0	1	0
pat-te$$$s0$p3	patte	1.0	0	0	0
	palte	0.0	0	0	1
	pate	0.0	0	1	0
met-a$$$s1$p0	meta	1.0	1	0	0
	mela	0.0	0	0	1
	mea	0.0	0	1	0
met-ta$$$s1$p1	metta	1.0	0	0	0
	melta	0.0	0	0	1
	meta	0.0	0	1	0
met-e$$$s1$p2	mete	1.0	1	0	0
	mele	0.0	0	0	1
	mee	0.0	0	1	0
met-te$$$s1$p3	mette	1.0	0	0	0
	melte	0.0	0	0	1
	mete	0.0	0	1	0
pot-a$$$s2$p0	pota	1.0	1	0	0
	pola	0.0	0	0	1
	poa	0.0	0	1	0
pot-ta$$$s2$p1	potta	1.0	0	0	0
	polta	0.0	0	0	1
	pota	0.0	0	1	0
pot-e$$$s2$p2	pote	1.0	1	0	0
	pole	0.0	0	0	1
	poe	0.0	0	1	0
pot-te$$$s2$p3	potte	1.0	0	0	0
	polte	0.0	0	0	1
	pote	0.0	0	1	0
sut-a$$$s3$p0	suta	1.0	1	0	0
	sula	0.0	0	0	1
	sua	0.0	0	1	0
sut-ta$$$s3$p1	sutta	1.0	0	0	0
	sulta	0.0	0	0	1
	suta	0.0	0	1	0
sut-e$$$s3$p2	sute	1.0	1	0	0
	sule	0.0	0	0	1
	sue	0.0	0	1	0
sut-te$$$s3$p3	sutte	1.0	0	0	0
	sulte	0.0	0	0	1
	sute	0.0	0	1	0
kat-a$$$s4$p0	kata	1.0	1	0	0
	kala	0.0	0	0	1
	kaa	0.0	0	1	0
kat-ta$$$s4$p1	katta	1.0	0	0	0
	kalta	0.0	0	0	1
	kata	0.0	0	1	0
kat-e$$$s4$p2	kate	1.0	1	0	0
	kale	0.0	0	0	1
	kae	0.0	0	1	0
kat-te$$$s4$p3	katte	1.0	0	0	0
	kalte	0.0	0	0	1
	kate	0.0	0	1	0
hot-a$$$s5$p0	hota	0.0	1	0	0
	hola	1.0	0	0	1
	hoa	0.0	0	1	0
hot-ta$$$s5$p1	hotta	1.0	0	0	0
	holta	0.0	0	0	1
	hota	0.0	0	1	0
hot-e$$$s5$p2	hote	0.0	1	0	0
	hole	1.0	0	0	1
	hoe	0.0	0	1	0
hot-te$$$s5$p3	hotte	1.0	0	0	0
	holte	0.0	0	0	1
	hote	0.0	0	1	0
mut-a$$$s6$p0	muta	0.0	1	0	0
	mula	1.0	0	0	1
	mua	0.0	0	1	0
mut-ta$$$s6$p1	mutta	1.0	0	0	0
	multa	0.0	0	0	1
	muta	0.0	0	1	0
mut-e$$$s6$p2	mute	0.0	1	0	0
	mule	1.0	0	0	1
	mue	0.0	0	1	0
mut-te$$$s6$p3	mutte	1.0	0	0	0
	multe	0.0	0	0	1
	mute	0.0	0	1	0
mot-a$$$s7$p0	mota	0.0	1	0	0
	mola	1.0	0	0	1
	moa	0.0	0	1	0
mot-ta$$$s7$p1	motta	1.0	0	0	0
	molta	0.0	0	0	1
	mota	0.0	0	1	0
mot-e$$$s7$p2	mote	0.0	1	0	0
	mole	1.0	0	0	1
	moe	0.0	0	1	0
mot-te$$$s7$p3	motte	1.0	0	0	0
	molte	0.0	0	0	1
	mote	0.0	0	1	0
nit-a$$$s8$p0	nita	0.0	1	0	0
	nila	1.0	0	0	1
	nia	0.0	0	1	0
nit-ta$$$s8$p1	nitta	1.0	0	0	0
	nilta	0.0	0	0	1
	nita	0.0	0	1	0
nit-e$$$s8$p2	nite	0.0	1	0	0
	nile	1.0	0	0	1
	nie	0.0	0	1	0
nit-te$$$s8$p3	nitte	1.0	0	0	0
	nilte	0.0	0	0	1
	nite	0.0	0	1	0
tot-a$$$s9$p0	tota	0.0	1	0	0
	tola	1.0	0	0	1
	toa	0.0	0	1	0
tot-ta$$$s9$p1	totta	1.0	0	0	0
	tolta	0.0	0	0	1
	tota	0.0	0	1	0
tot-e$$$s9$p2	tote	0.0	1	0	0
	tole	1.0	0	0	1
	toe	0.0	0	1	0
tot-te$$$s9$p3	totte	1.0	0	0	0
	tolte	0.0	0	0	1
	tote	0.0	0	1	0
not-a$$$s10$p0	nota	0.0	1	0	0
	nola	1.0	0	0	1
	noa	0.0	0	1	0
not-ta$$$s10$p1	notta	1.0	0	0	0
	nolta	0.0	0	0	1
	nota	0.0	0	1	0
not-e$$$s10$p2	note	0.0	1	0	0
	nole	1.0	0	0	1
	noe	0.0	0	1	0
not-te$$$s10$p3	notte	1.0	0	0	0
	nolte	0.0	0	0	1
	note	0.0	0	1	0
mat-a$$$s11$p0	mata	0.0	1	0	0
	mala	1.0	0	0	1
	maa	0.0	0	1	0
mat-ta$$$s11$p1	matta	1.0	0	0	0
	malta	0.0	0	0	1
	mata	0.0	0	1	0
mat-e$$$s11$p2	mate	0.0	1	0	0
	male	1.0	0	0	1
	mae	0.0	0	1	0
mat-te$$$s11$p3	matte	1.0	0	0	0
	malte	0.0	0	0	1
	mate	0.0	0	1	0
tus-a$$$s12$p0	tusa	1.0	1	0	0
	tula	0.0	0	0	1
	tua	0.0	0	1	0
tus-ta$$$s12$p1	tutta	1.0	0	0	0
	tulta	0.0	0	0	1
	tuta	0.0	0	1	0
tus-e$$$s12$p2	tuse	1.0	1	0	0
	tule	0.0	0	0	1
	tue	0.0	0	1	0
tus-te$$$s12$p3	tutte	1.0	0	0	0
	tulte	0.0	0	0	1
	tute	0.0	0	1	0
sis-a$$$s13$p0	sisa	1.0	1	0	0
	sila	0.0	0	0	1
	sia	0.0	0	1	0
sis-ta$$$s13$p1	sitta	1.0	0	0	0
	silta	0.0	0	0	1
	sita	0.0	0	1	0
sis-e$$$s13$p2	sise	1.0	1	0	0
	sile	0.0	0	0	1
	sie	0.0	0	1	0
sis-te$$$s13$p3	sitte	1.0	0	0	0
	silte	0.0	0	0	1
	site	0.0	0	1	0
hus-a$$$s14$p0	husa	1.0	1	0	0
	hula	0.0	0	0	1
	hua	0.0	0	1	0
hus-ta$$$s14$p1	hutta	1.0	0	0	0
	hulta	0.0	0	0	1
