s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1	p2	p3	p4	p5
			*VcV	Max	Ident
pat-a$$$s0$p0	pata	1.0	1	0	0
	pala	0.0	0	0	1
	paa	0.0	0	1	0
pat-ta$$$s0$p1	patta	1.0	0	0	0
	palta	0.0	0	0	1
	pata	0.0	0	1	0
pat-e$$$s0$p2	pate	1.0	1	0	0
	pale	0.0	0	0	1
	pae	0.0	0	1	0
pat-te$$$s0$p3	patte	1.0	0	0	0
	palte	0.0	0	0	1
	pate	0.0	0	1	0
pat-tu$$$s0$p4	pattu	1.0	0	0	0
	paltu	0.0	0	0	1
	patu	0.0	0	1	0
pat-u$$$s0$p5	patu	1.0	1	0	0
	palu	0.0	0	0	1
	pau	0.0	0	1	0
met-a$$$s1$p0	meta	1.0	1	0	0
	mela	0.0	0	0	1
	mea	0.0	0	1	0
met-ta$$$s1$p1	metta	1.0	0	0	0
	melta	0.0	0	0	1
	meta	0.0	0	1	0
met-e$$$s1$p2	mete	1.0	1	0	0
	mele	0.0	0	0	1
	mee	0.0	0	1	0
met-te$$$s1$p3	mette	1.0	0	0	0
	melte	0.0	0	0	1
	mete	0.0	0	1	0
met-tu$$$s1$p4	mettu	1.0	0	0	0
	meltu	0.0	0	0	1
	metu	0.0	0	1	0
met-u$$$s1$p5	metu	1.0	1	0	0
	melu	0.0	0	0	1
	meu	0.0	0	1	0
pot-a$$$s2$p0	pota	1.0	1	0	0
	pola	0.0	0	0	1
	poa	0.0	0	1	0
pot-ta$$$s2$p1	potta	1.0	0	0	0
	polta	0.0	0	0	1
	pota	0.0	0	1	0
pot-e$$$s2$p2	pote	1.0	1	0	0
	pole	0.0	0	0	1
	poe	0.0	0	1	0
pot-te$$$s2$p3	potte	1.0	0	0	0
	polte	0.0	0	0	1
	pote	0.0	0	1	0
pot-tu$$$s2$p4	pottu	1.0	0	0	0
	poltu	0.0	0	0	1
	potu	0.0	0	1	0
pot-u$$$s2$p5	potu	1.0	1	0	0
	polu	0.0	0	0	1
	pou	0.0	0	1	0
sut-a$$$s3$p0	suta	1.0	1	0	0
	sula	0.0	0	0	1
	sua	0.0	0	1	0
sut-ta$$$s3$p1	sutta	1.0	0	0	0
	sulta	0.0	0	0	1
	suta	0.0	0	1	0
sut-e$$$s3$p2	sute	1.0	1	0	0
	sule	0.0	0	0	1
	sue	0.0	0	1	0
sut-te$$$s3$p3	sutte	1.0	0	0	0
	sulte	0.0	0	0	1
	sute	0.0	0	1	0
sut-tu$$$s3$p4	suttu	1.0	0	0	0
	sultu	0.0	0	0	1
	sutu	0.0	0	1	0
sut-u$$$s3$p5	sutu	1.0	1	0	0
	sulu	0.0	0	0	1
	suu	0.0	0	1	0
kat-a$$$s4$p0	kata	1.0	1	0	0
	kala	0.0	0	0	1
	kaa	0.0	0	1	0
kat-ta$$$s4$p1	katta	1.0	0	0	0
	kalta	0.0	0	0	1
	kata	0.0	0	1	0
kat-e$$$s4$p2	kate	1.0	1	0	0
	kale	0.0	0	0	1
	kae	0.0	0	1	0
kat-te$$$s4$p3	katte	1.0	0	0	0
	kalte	0.0	0	0	1
	kate	0.0	0	1	0
kat-tu$$$s4$p4	kattu	1.0	0	0	0
	kaltu	0.0	0	0	1
	katu	0.0	0	1	0
kat-u$$$s4$p5	katu	1.0	1	0	0
	kalu	0.0	0	0	1
	kau	0.0	0	1	0
hot-a$$$s5$p0	hota	0.0	1	0	0
	hola	1.0	0	0	1
	hoa	0.0	0	1	0
hot-ta$$$s5$p1	hotta	1.0	0	0	0
	holta	0.0	0	0	1
	hota	0.0	0	1	0
hot-e$$$s5$p2	hote	0.0	1	0	0
	hole	1.0	0	0	1
	hoe	0.0	0	1	0
hot-te$$$s5$p3	hotte	1.0	0	0	0
	holte	0.0	0	0	1
	hote	0.0	0	1	0
hot-tu$$$s5$p4	hottu	1.0	0	0	0
	holtu	0.0	0	0	1
	hotu	0.0	0	1	0
hot-u$$$s5$p5	hotu	0.0	1	0	0
	holu	1.0	0	0	1
	hou	0.0	0	1	0
mut-a$$$s6$p0	muta	0.0	1	0	0
	mula	1.0	0	0	1
	mua	0.0	0	1	0
mut-ta$$$s6$p1	mutta	1.0	0	0	0
	multa	0.0	0	0	1
	muta	0.0	0	1	0
mut-e$$$s6$p2	mute	0.0	1	0	0
	mule	1.0	0	0	1
	mue	0.0	0	1	0
mut-te$$$s6$p3	mutte	1.0	0	0	0
	multe	0.0	0	0	1
	mute	0.0	0	1	0
mut-tu$$$s6$p4	muttu	1.0	0	0	0
	multu	0.0	0	0	1
	mutu	0.0	0	1	0
mut-u$$$s6$p5	mutu	0.0	1	0	0
	mulu	1.0	0	0	1
	muu	0.0	0	1	0
mot-a$$$s7$p0	mota	0.0	1	0	0
	mola	1.0	0	0	1
	moa	0.0	0	1	0
mot-ta$$$s7$p1	motta	1.0	0	0	0
	molta	0.0	0	0	1
	mota	0.0	0	1	0
mot-e$$$s7$p2	mote	0.0	1	0	0
	mole	1.0	0	0	1
	moe	0.0	0	1	0
mot-te$$$s7$p3	motte	1.0	0	0	0
	molte	0.0	0	0	1
	mote	0.0	0	1	0
mot-tu$$$s7$p4	mottu	1.0	0	0	0
	moltu	0.0	0	0	1
	motu	0.0	0	1	0
mot-u$$$s7$p5	motu	0.0	1	0	0
	molu	1.0	0	0	1
	mou	0.0	0	1	0
nit-a$$$s8$p0	nita	0.0	1	0	0
	nila	1.0	0	0	1
	nia	0.0	0	1	0
nit-ta$$$s8$p1	nitta	1.0	0	0	0
	nilta	0.0	0	0	1
	nita	0.0	0	1	0
nit-e$$$s8$p2	nite	0.0	1	0	0
	nile	1.0	0	0	1
	nie	0.0	0	1	0
nit-te$$$s8$p3	nitte	1.0	0	0	0
	nilte	0.0	0	0	1
	nite	0.0	0	1	0
nit-tu$$$s8$p4	nittu	1.0	0	0	0
	niltu	0.0	0	0	1
	nitu	0.0	0	1	0
nit-u$$$s8$p5	nitu	0.0	1	0	0
	nilu	1.0	0	0	1
	niu	0.0	0	1	0
tot-a$$$s9$p0	tota	0.0	1	0	0
	tola	1.0	0	0	1
	toa	0.0	0	1	0
tot-ta$$$s9$p1	totta	1.0	0	0	0
	tolta	0.0	0	0	1
	tota	0.0	0	1	0
tot-e$$$s9$p2	tote	0.0	1	0	0
	tole	1.0	0	0	1
	toe	0.0	0	1	0
