Input,Output,ObservedProb,ExpectedProb
pat-a,pata,1.0,0.7321228270466255
pat-a,pala,0.0,0.19796332449953047
pat-a,paa,0.0,0.06991384845384399
pat-ta,patta,1.0,0.9640771564227817
pat-ta,palta,0.0,0.026547262171011957
pat-ta,pata,0.0,0.009375581406206368
pat-e,pate,1.0,0.7321228270466255
pat-e,pale,0.0,0.19796332449953047
pat-e,pae,0.0,0.06991384845384399
pat-te,patte,1.0,0.9640771564227817
pat-te,palte,0.0,0.026547262171011957
pat-te,pate,0.0,0.009375581406206368
pat-tu,pattu,1.0,0.9640771564227817
pat-tu,paltu,0.0,0.026547262171011957
pat-tu,patu,0.0,0.009375581406206368
pat-u,patu,1.0,0.7321228270466255
pat-u,palu,0.0,0.19796332449953047
pat-u,pau,0.0,0.06991384845384399
pat-o,pato,1.0,0.7321228270466255
pat-o,palo,0.0,0.19796332449953047
pat-o,pao,0.0,0.06991384845384399
pat-to,patto,1.0,0.9640771564227817
pat-to,palto,0.0,0.026547262171011957
pat-to,pato,0.0,0.009375581406206368
pat-i,pati,1.0,0.7321228270466255
pat-i,pali,0.0,0.19796332449953047
pat-i,pai,0.0,0.06991384845384399
pat-ti,patti,1.0,0.9640771564227817
pat-ti,palti,0.0,0.026547262171011957
pat-ti,pati,0.0,0.009375581406206368
met-a,meta,1.0,0.7321228270466255
met-a,mela,0.0,0.19796332449953047
met-a,mea,0.0,0.06991384845384399
met-ta,metta,1.0,0.9640771564227817
met-ta,melta,0.0,0.026547262171011957
met-ta,meta,0.0,0.009375581406206368
met-e,mete,1.0,0.7321228270466255
met-e,mele,0.0,0.19796332449953047
met-e,mee,0.0,0.06991384845384399
met-te,mette,1.0,0.9640771564227817
met-te,melte,0.0,0.026547262171011957
met-te,mete,0.0,0.009375581406206368
met-tu,mettu,1.0,0.9640771564227817
met-tu,meltu,0.0,0.026547262171011957
met-tu,metu,0.0,0.009375581406206368
met-u,metu,1.0,0.7321228270466255
met-u,melu,0.0,0.19796332449953047
met-u,meu,0.0,0.06991384845384399
met-o,meto,1.0,0.7321228270466255
met-o,melo,0.0,0.19796332449953047
met-o,meo,0.0,0.06991384845384399
met-to,metto,1.0,0.9640771564227817
met-to,melto,0.0,0.026547262171011957
met-to,meto,0.0,0.009375581406206368
met-i,meti,1.0,0.7321228270466255
met-i,meli,0.0,0.19796332449953047
met-i,mei,0.0,0.06991384845384399
met-ti,metti,1.0,0.9640771564227817
met-ti,melti,0.0,0.026547262171011957
met-ti,meti,0.0,0.009375581406206368
pot-a,pota,1.0,0.7321228270466255
pot-a,pola,0.0,0.19796332449953047
pot-a,poa,0.0,0.06991384845384399
pot-ta,potta,1.0,0.9640771564227817
pot-ta,polta,0.0,0.026547262171011957
pot-ta,pota,0.0,0.009375581406206368
pot-e,pote,1.0,0.7321228270466255
pot-e,pole,0.0,0.19796332449953047
pot-e,poe,0.0,0.06991384845384399
pot-te,potte,1.0,0.9640771564227817
pot-te,polte,0.0,0.026547262171011957
pot-te,pote,0.0,0.009375581406206368
pot-tu,pottu,1.0,0.9640771564227817
pot-tu,poltu,0.0,0.026547262171011957
pot-tu,potu,0.0,0.009375581406206368
pot-u,potu,1.0,0.7321228270466255
pot-u,polu,0.0,0.19796332449953047
pot-u,pou,0.0,0.06991384845384399
pot-o,poto,1.0,0.7321228270466255
pot-o,polo,0.0,0.19796332449953047
pot-o,poo,0.0,0.06991384845384399
pot-to,potto,1.0,0.9640771564227817
pot-to,polto,0.0,0.026547262171011957
pot-to,poto,0.0,0.009375581406206368
pot-i,poti,1.0,0.7321228270466255
pot-i,poli,0.0,0.19796332449953047
pot-i,poi,0.0,0.06991384845384399
pot-ti,potti,1.0,0.9640771564227817
pot-ti,polti,0.0,0.026547262171011957
pot-ti,poti,0.0,0.009375581406206368
sut-a,suta,1.0,0.7321228270466255
sut-a,sula,0.0,0.19796332449953047
sut-a,sua,0.0,0.06991384845384399
sut-ta,sutta,1.0,0.9640771564227817
sut-ta,sulta,0.0,0.026547262171011957
sut-ta,suta,0.0,0.009375581406206368
sut-e,sute,1.0,0.7321228270466255
sut-e,sule,0.0,0.19796332449953047
sut-e,sue,0.0,0.06991384845384399
sut-te,sutte,1.0,0.9640771564227817
sut-te,sulte,0.0,0.026547262171011957
sut-te,sute,0.0,0.009375581406206368
sut-tu,suttu,1.0,0.9640771564227817
sut-tu,sultu,0.0,0.026547262171011957
sut-tu,sutu,0.0,0.009375581406206368
sut-u,sutu,1.0,0.7321228270466255
sut-u,sulu,0.0,0.19796332449953047
sut-u,suu,0.0,0.06991384845384399
sut-o,suto,1.0,0.7321228270466255
sut-o,sulo,0.0,0.19796332449953047
sut-o,suo,0.0,0.06991384845384399
sut-to,sutto,1.0,0.9640771564227817
sut-to,sulto,0.0,0.026547262171011957
sut-to,suto,0.0,0.009375581406206368
sut-i,suti,1.0,0.7321228270466255
sut-i,suli,0.0,0.19796332449953047
sut-i,sui,0.0,0.06991384845384399
sut-ti,sutti,1.0,0.9640771564227817
sut-ti,sulti,0.0,0.026547262171011957
sut-ti,suti,0.0,0.009375581406206368
kat-a,kata,1.0,0.7321228270466255
kat-a,kala,0.0,0.19796332449953047
kat-a,kaa,0.0,0.06991384845384399
kat-ta,katta,1.0,0.9640771564227817
kat-ta,kalta,0.0,0.026547262171011957
kat-ta,kata,0.0,0.009375581406206368
kat-e,kate,1.0,0.7321228270466255
kat-e,kale,0.0,0.19796332449953047
kat-e,kae,0.0,0.06991384845384399
kat-te,katte,1.0,0.9640771564227817
kat-te,kalte,0.0,0.026547262171011957
kat-te,kate,0.0,0.009375581406206368
kat-tu,kattu,1.0,0.9640771564227817
kat-tu,kaltu,0.0,0.026547262171011957
kat-tu,katu,0.0,0.009375581406206368
kat-u,katu,1.0,0.7321228270466255
kat-u,kalu,0.0,0.19796332449953047
kat-u,kau,0.0,0.06991384845384399
kat-o,kato,1.0,0.7321228270466255
kat-o,kalo,0.0,0.19796332449953047
kat-o,kao,0.0,0.06991384845384399
kat-to,katto,1.0,0.9640771564227817
kat-to,kalto,0.0,0.026547262171011957
kat-to,kato,0.0,0.009375581406206368
kat-i,kati,1.0,0.7321228270466255
kat-i,kali,0.0,0.19796332449953047
kat-i,kai,0.0,0.06991384845384399
kat-ti,katti,1.0,0.9640771564227817
kat-ti,kalti,0.0,0.026547262171011957
kat-ti,kati,0.0,0.009375581406206368
hot-a,hota,0.0,0.7321228270466255
hot-a,hola,1.0,0.19796332449953047
hot-a,hoa,0.0,0.06991384845384399
hot-ta,hotta,1.0,0.9640771564227817
hot-ta,holta,0.0,0.026547262171011957
hot-ta,hota,0.0,0.009375581406206368
hot-e,hote,0.0,0.7321228270466255
hot-e,hole,1.0,0.19796332449953047
hot-e,hoe,0.0,0.06991384845384399
hot-te,hotte,1.0,0.9640771564227817
hot-te,holte,0.0,0.026547262171011957
hot-te,hote,0.0,0.009375581406206368
hot-tu,hottu,1.0,0.9640771564227817
hot-tu,holtu,0.0,0.026547262171011957
hot-tu,hotu,0.0,0.009375581406206368
hot-u,hotu,0.0,0.7321228270466255
hot-u,holu,1.0,0.19796332449953047
hot-u,hou,0.0,0.06991384845384399
hot-o,hoto,0.0,0.7321228270466255
hot-o,holo,1.0,0.19796332449953047
hot-o,hoo,0.0,0.06991384845384399
hot-to,hotto,1.0,0.9640771564227817
hot-to,holto,0.0,0.026547262171011957
hot-to,hoto,0.0,0.009375581406206368
hot-i,hoti,0.0,0.7321228270466255
hot-i,holi,1.0,0.19796332449953047
hot-i,hoi,0.0,0.06991384845384399
hot-ti,hotti,1.0,0.9640771564227817
hot-ti,holti,0.0,0.026547262171011957
hot-ti,hoti,0.0,0.009375581406206368
mut-a,muta,0.0,0.7321228270466255
mut-a,mula,1.0,0.19796332449953047
mut-a,mua,0.0,0.06991384845384399
mut-ta,mutta,1.0,0.9640771564227817
mut-ta,multa,0.0,0.026547262171011957
mut-ta,muta,0.0,0.009375581406206368
mut-e,mute,0.0,0.7321228270466255
mut-e,mule,1.0,0.19796332449953047
mut-e,mue,0.0,0.06991384845384399
mut-te,mutte,1.0,0.9640771564227817
mut-te,multe,0.0,0.026547262171011957
mut-te,mute,0.0,0.009375581406206368
mut-tu,muttu,1.0,0.9640771564227817
mut-tu,multu,0.0,0.026547262171011957
mut-tu,mutu,0.0,0.009375581406206368
mut-u,mutu,0.0,0.7321228270466255
mut-u,mulu,1.0,0.19796332449953047
mut-u,muu,0.0,0.06991384845384399
mut-o,muto,0.0,0.7321228270466255
mut-o,mulo,1.0,0.19796332449953047
mut-o,muo,0.0,0.06991384845384399
mut-to,mutto,1.0,0.9640771564227817
mut-to,multo,0.0,0.026547262171011957
mut-to,muto,0.0,0.009375581406206368
mut-i,muti,0.0,0.7321228270466255
mut-i,muli,1.0,0.19796332449953047
mut-i,mui,0.0,0.06991384845384399
mut-ti,mutti,1.0,0.9640771564227817
mut-ti,multi,0.0,0.026547262171011957
mut-ti,muti,0.0,0.009375581406206368
mot-a,mota,0.0,0.7321228270466255
mot-a,mola,1.0,0.19796332449953047
mot-a,moa,0.0,0.06991384845384399
mot-ta,motta,1.0,0.9640771564227817
mot-ta,molta,0.0,0.026547262171011957
mot-ta,mota,0.0,0.009375581406206368
mot-e,mote,0.0,0.7321228270466255
mot-e,mole,1.0,0.19796332449953047
mot-e,moe,0.0,0.06991384845384399
mot-te,motte,1.0,0.9640771564227817
mot-te,molte,0.0,0.026547262171011957
mot-te,mote,0.0,0.009375581406206368
mot-tu,mottu,1.0,0.9640771564227817
mot-tu,moltu,0.0,0.026547262171011957
mot-tu,motu,0.0,0.009375581406206368
mot-u,motu,0.0,0.7321228270466255
mot-u,molu,1.0,0.19796332449953047
mot-u,mou,0.0,0.06991384845384399
mot-o,moto,0.0,0.7321228270466255
mot-o,molo,1.0,0.19796332449953047
mot-o,moo,0.0,0.06991384845384399
mot-to,motto,1.0,0.9640771564227817
mot-to,molto,0.0,0.026547262171011957
mot-to,moto,0.0,0.009375581406206368
mot-i,moti,0.0,0.7321228270466255
mot-i,moli,1.0,0.19796332449953047
mot-i,moi,0.0,0.06991384845384399
mot-ti,motti,1.0,0.9640771564227817
mot-ti,molti,0.0,0.026547262171011957
mot-ti,moti,0.0,0.009375581406206368
nit-a,nita,0.0,0.7321228270466255
nit-a,nila,1.0,0.19796332449953047
nit-a,nia,0.0,0.06991384845384399
nit-ta,nitta,1.0,0.9640771564227817
nit-ta,nilta,0.0,0.026547262171011957
nit-ta,nita,0.0,0.009375581406206368
nit-e,nite,0.0,0.7321228270466255
nit-e,nile,1.0,0.19796332449953047
nit-e,nie,0.0,0.06991384845384399
nit-te,nitte,1.0,0.9640771564227817
nit-te,nilte,0.0,0.026547262171011957
nit-te,nite,0.0,0.009375581406206368
nit-tu,nittu,1.0,0.9640771564227817
nit-tu,niltu,0.0,0.026547262171011957
nit-tu,nitu,0.0,0.009375581406206368
nit-u,nitu,0.0,0.7321228270466255
nit-u,nilu,1.0,0.19796332449953047
nit-u,niu,0.0,0.06991384845384399
nit-o,nito,0.0,0.7321228270466255
nit-o,nilo,1.0,0.19796332449953047
nit-o,nio,0.0,0.06991384845384399
nit-to,nitto,1.0,0.9640771564227817
nit-to,nilto,0.0,0.026547262171011957
