Morpheme,*VcV,Max,Ident
General,2.2843781938960066,4.633062742595128,3.5922447065558156
s0,0.0,0.0,0.15073542575544283
s1,0.0,0.0,0.15073542575544283
s2,0.0,0.0,0.15073542575544283
s3,0.0,0.0,0.15073542575544283
s4,0.0,0.0,0.15073542575544283
s5,2.4042883330082097,0.10458642438460812,0.0
s6,2.4042883330082097,0.10458642438460812,0.0
s7,2.4042883330082097,0.10458642438460812,0.0
s8,2.4042883330082097,0.10458642438460812,0.0
s9,2.4042883330082097,0.10458642438460812,0.0
s10,2.4042883330082097,0.10458642438460812,0.0
s11,2.4042883330082097,0.10458642438460812,0.0
s12,0.0,0.0,0.15073542575544283
s13,0.0,0.0,0.15073542575544283
s14,0.0,0.0,0.15073542575544283
s15,0.0,0.0,0.15073542575544283
s16,3.444963997816661,0.0,2.1638185376635817
s17,3.444963997816661,0.0,2.1638185376635817
s18,3.444963997816661,0.0,2.1638185376635817
s19,3.444963997816661,0.0,2.1638185376635817
s20,3.444963997816661,0.0,2.1638185376635817
p0,0.0,0.0,0.0
p1,0.0,0.0,0.0
p2,0.0,0.0,0.0
p3,0.0,0.0,0.0
p4,0.0,0.0,0.0
p5,0.0,0.0,0.0
p6,0.0,0.0,0.0
p7,0.0,0.0,0.0
p8,0.0,0.0,0.0
p9,0.0,0.0,0.0
